state,region,facility,ward,role_qualifier,item_label,delivery,required,source_row,raw_type,flags
ACT,ALL SITES,ALL SITES,,,4 forms of ID,individual,True,6,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,CRC,individual,True,7,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,Hep B serology,individual,True,9,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,MMR doses or serology,individual,True,10,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,Varicella doses or serology,individual,True,11,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,dTpa,individual,True,12,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,ANTT,individual,True,13,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,BLS,individual,True,14,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,CTP,individual,True,15,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,Fire,individual,True,16,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,HH,individual,True,17,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,MH,individual,True,18,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,MM,individual,True,19,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,OVA,individual,True,20,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,PF,individual,True,21,Checklist Item,act_checklist_item_type
ACT,ALL SITES,ALL SITES,,,AHPRA,individual,True,22,Checklist Item,act_checklist_item_type
NSW,INFORMATION FOR CREDENTIALS,INFORMATION FOR CREDENTIALS,,,NSW WWCC,individual,True,5,√,
NSW,INFORMATION FOR CREDENTIALS,INFORMATION FOR CREDENTIALS,,,eMeds Training,individual,True,6,√,
NSW,INFORMATION FOR CREDENTIALS,INFORMATION FOR CREDENTIALS,,,Immunisation Information,individual,True,7,√,
NSW,CLARENCE CORRECTION FACILITY,CLARENCE CORRECTION FACILITY,,,1. Serco Contractor Consent Form,individual,True,16,√,
NSW,CLARENCE CORRECTION FACILITY,CLARENCE CORRECTION FACILITY,,,2. Corrections Intelligence Group (CIG) Form,individual,True,17,√,
NSW,CLARENCE CORRECTION FACILITY,CLARENCE CORRECTION FACILITY,,,3. Declaration of Contact with Offenders,individual,True,18,√,
NSW,CLARENCE CORRECTION FACILITY,CLARENCE CORRECTION FACILITY,,,4. Declaration of Criminal Charges and Offences,individual,True,19,√,
NSW,CLARENCE CORRECTION FACILITY,CLARENCE CORRECTION FACILITY,,,CRC (under 3 months old or completed within 3-12 months with JP certified stat dec),individual,True,20,√,
NSW,CLARENCE CORRECTION FACILITY,CLARENCE CORRECTION FACILITY,,,Certified ID (in colour)  - either Passport or DL front and back (whatever is filled out on CIG form) (family member can certfiy as long as different surname),individual,True,21,√,
NSW,CLARENCE CORRECTION FACILITY,CLARENCE CORRECTION FACILITY,,,"Evidence of current address if it's different to drivers licence (e.g. utility bills, council rates notice, etc.)",individual,True,22,√,
NSW,CLARENCE CORRECTION FACILITY,CLARENCE CORRECTION FACILITY,,,"AHPRA Certificate and Certified Quals (family member can certifiy, providing different surname)",individual,True,23,√,
NSW,CLARENCE CORRECTION FACILITY,CLARENCE CORRECTION FACILITY,,,COVID (2 Doses),individual,True,24,√,
NSW,FAR WEST LHD (NHFW),,,,Pack A - To be filled in by Credentials and finalised with nurse over the phone or email,individual,True,49,√,
NSW,FAR WEST LHD (NHFW),,,,Pack B - To be printed and witnessed by Nurse *Split into Australian and Overseas candidates as overseas candidates have an additional stat dec to complete,individual,True,50,√,
NSW,FAR WEST LHD (NHFW),,,,4 forms of ID,individual,True,51,√,
NSW,FAR WEST LHD (NHFW),,,,AHPRA,individual,True,52,√,
NSW,FAR WEST LHD (NHFW),,,,Hep B serology and Hep B doses (age appropriate doses required OR complete Hep B Declaration included in Pack A),individual,True,54,√,
NSW,FAR WEST LHD (NHFW),,,,MMR (Serology or Doses),individual,True,55,√,
NSW,FAR WEST LHD (NHFW),,,,Varicella (Serology or Doses),individual,True,56,√,
NSW,FAR WEST LHD (NHFW),,,,Pertussis,individual,True,57,√,
NSW,FAR WEST LHD (NHFW),,,,"Annual Flu (current year, typically required  May to September)",individual,True,58,√,
NSW,FAR WEST LHD (NHFW),,,,CRC within last 3 years - include information on page 1 and 32 of Pack A,individual,True,59,√,
NSW,FAR WEST LHD (NHFW),,,,NSW WWCC Application Number - must finalise within 3 days of arrival to NSW,individual,True,60,√,
NSW,FAR WEST LHD (NHFW),,,,eMeds Training - Once Off (only need to provide certificate upon request),individual,True,61,√,
